,kt_2La
AG0029-C,0
AG0031-C,0
AG0044-C,0
AG0054-C,2
AG0060-C,2
AG0063-C,0
AG0065-C,2
AG0069-C,2
AG0011-C,0
AG0020-C,2
AG0022-C,0
AG0023-C,2
AG0025-C,0
AG0027-C,2
AG0032-C,2
AG0048-C,2
AG0059-C,2
AG0062-C,0
AG0066-C,2
AG0076-C,0
AG0021-C,0
AG0033-C,2
AG0040-C,0
AG0041-C,2
AG0042-C,2
AG0050-C,0
AG0053-C,0
AG0067-C,2
AG0375-C,0
AG0290-C,0
AG0330-C,2
AG0314-C,2
AG0279-C,0
AG0289-C,1
AG0352-C,2
AG0356-C,2
AG0307-C,1
AG0359-C,0
AG0310-C,0
AG0293-C,2
AG0327-C,0
AG0337-C,2
AG0366-C,2
AG0270-C,2
AG0334-C,1
AG0273-C,2
AG0306-C,2
AG0329-C,2
AG0344-C,0
AG0296-C,0
AG0285-C,2
AG0304-C,0
AG0349-C,0
AG0320-C,1
AG0323-C,0
AG0373-C,2
AG0298-C,2
AG0369-C,2
AG0283-C,0
AG0275-C,2
AG0272-C,0
AG0299-C,0
AG0315-C,0
AG0353-C,1
AG0318-C,0
AG0317-C,0
AG0374-C,0
AG0360-C,2
AG0341-C,0
AG0302-C,2
AG0357-C,1
AG0284-C,2
AG0324-C,1
AG0342-C,0
AG0287-C,0
AG0351-C,0
AG0377-C,2
AG0281-C,0
AG0371-C,1
AG0277-C,0
AG0339-C,2
AG0336-C,0
AG0348-C,0
AG0295-C,0
AG0326-C,0
AG0319-C,2
AG0300-C,2
AG0367-C,0
AG0274-C,1
AG0343-C,0
AG0358-C,2
AG0335-C,2
AG0346-C,2
AG0294-C,2
AG0354-C,0
AG0368-C,0
AG0311-C,1
AG0355-C,1
AG0332-C,2
AG0361-C,0
AG0305-C,2
AG0363-C,0
AG0331-C,1
AG0309-C,1
AG0333-C,0
AG0338-C,0
AG0350-C,0
AG0321-C,0
AG0278-C,2
AG0308-C,0
AG0376-C,2
AG0370-C,0
AG0372-C,0
AG0325-C,0
AG0292-C,2
AG0297-C,0
AG0282-C,2
AG0347-C,2
AG0364-C,2
AG0328-C,2
AG0286-C,2
AG0365-C,1
AG0276-C,0
AG0271-C,0
AG0345-C,2
AG0291-C,0
AG0362-C,2
AG0340-C,0
AG0288-C,2
AG0322-C,0
AG0312-C,0
AG0316-C,2
AG0303-C,0
AG0301-C,2
AG0313-C,0
AV0043-C,1
AV0036-C,2
AV0025-C,1
AV0037-C,1
AV0026-C,1
AV0006-C,1
AV0008-C,0
AV0015-C,0
AV0010-C,0
AV0032-C,1
AV0007-C,1
AV0035-C,2
AV0012-C,0
AV0024-C,1
AV0031-C,0
AV0002-C,2
AV0014-C,1
AV0013-C,0
AV0005-C,0
AV0011-C,2
AV0027-C,1
AV0018-C,0
AV0047-C,1
AV0038-C,1
AV0040-C,1
AV0039-C,1
AV0009-C,0
AV0001-C,2
AV0041-C,1
AV0033-C,1
AV0045-C,1
AV0017-C,0
AV0022-C,1
AV0020-C,2
AV0021-C,0
AV0028-C,1
AV0023-C,1
AV0042-Cx,1
AV0044-Cx,1
AV0004-Cx,1
AV0030-Cx,0
AV0046-Cx,1
AV0029-Cx,0
AV0034-Cx,2
AV0003-Cx,0
AV0069-CW,1
AV0126-CW,0
AV0209-CW,1
AV0235-CW,0
AV0132-C,0
AV0061-C,0
AV0109-C,0
AV0074-C,1
AV0086-C,1
AV0098-C,0
AV0134-C,2
AV0113-C,0
AV0137-C,1
AV0078-C,0
AV0055-C,2
AV0067-C,0
AV0091-C,0
AV0115-C,2
AV0068-C,1
AV0080-C,0
AV0092-C,0
AV0104-C,0
AV0116-C,0
AV0128-C,0
AV0140-C,1
AV0129-C,0
AV0141-C,1
AV0058-C,0
AV0070-C,1
AV0082-C,2
AV0094-C,1
AV0106-C,2
AV0130-C,1
AV0059-C,1
AV0083-C,1
AV0095-C,0
AV0107-C,1
AV0119-C,0
AV0131-C,0
AV0142-C,2
AV0154-C,0
AV0226-C,2
AV0143-C,2
AV0179-C,0
AV0191-C,1
AV0180-C,1
AV0192-C,1
AV0170-C,2
AV0194-C,2
AV0206-C,1
AV0218-C,1
AV0171-C,2
AV0195-C,1
AV0207-C,1
AV0330-C,2
AV0342-C,0
AV0354-C,0
AV0366-C,2
AV0377-C,0
AV0387-C,2
AV0407-C,2
AV0331-C,2
AV0367-C,2
AV0378-C,2
AV0408-C,2
AV0332-C,2
AV0344-C,2
AV0356-C,0
AV0368-C,2
AV0389-C,0
AV0409-C,2
AV0333-C,0
AV0380-C,2
AV0390-C,2
AV0400-C,2
AV0410-C,2
AV0334-C,2
AV0346-C,2
AV0358-C,0
AV0381-C,0
AV0391-C,2
AV0401-C,2
AV0335-C,2
AV0347-C,0
AV0359-C,2
AV0371-C,2
AV0382-C,2
AV0392-C,2
AV0402-C,2
AV0412-C,2
AV0336-C,2
AV0360-C,2
AV0372-C,2
AV0383-C,2
AV0393-C,2
AV0403-C,0
AV0337-C,2
AV0349-C,2
AV0361-C,2
AV0373-C,0
AV0384-C,0
AV0394-C,2
AV0404-C,2
AV0414-C,2
AV0338-C,1
AV0350-C,2
AV0362-C,2
AV0405-C,0
AV0415-C,2
AV0351-C,2
AV0363-C,2
AV0375-C,2
AV0386-C,0
AV0396-C,2
AV0406-C,0
AV0340-C,2
AV0352-C,0
AV0364-C,0
AV0376-C,0
AV0341-C,1
AV0353-C,1
AV0219-C,1
AV0231-C,0
AV0160-C,1
AV0196-C,1
AV0208-C,1
AV0220-C,1
AV0232-C,0
AV0149-C,1
AV0161-C,1
AV0173-C,1
AV0185-C,1
AV0150-C,1
AV0162-C,2
AV0174-C,2
AV0186-C,2
AV0198-C,0
AV0210-C,0
AV0222-C,2
AV0234-C,0
AV0199-C,2
AV0211-C,1
AV0223-C,0
AV0152-C,2
AV0164-C,1
AV0176-C,2
AV0188-C,2
AV0200-C,2
AV0165-C,0
AV0177-C,1
AV0189-C,1
AV0201-C,1
AV0213-C,0
AV0225-C,2
AV0236-C,2
AV0248-C,2
AV0308-C,2
AV0320-C,2
AV0237-C,2
AV0249-C,2
AV0285-C,2
AV0297-C,2
AV0262-C,0
AV0263-C,0
AV0275-C,2
AV0287-C,2
AV0323-C,2
AV0241-C,2
AV0253-C,2
AV0265-C,2
AV0277-C,0
AV0325-C,2
AV0254-C,2
AV0278-C,2
AV0314-C,2
AV0243-C,2
AV0255-C,0
AV0303-C,2
AV0268-C,2
AV0280-C,2
AV0292-C,2
AV0304-C,2
AV0245-C,2
AV0293-C,2
AV0305-C,2
AQ0009-C,1
AQ0001-C,1
AQ0002-C,1
AQ0005-C,1
AQ0004-C,1
AQ0015-C,1
AQ0011-C,1
AQ0012-C,1
AQ0014-C,1
AQ0013-C,1
AJ0023-C,1
AJ0024-C,1
AJ0032-C,2
AJ0035-C,0
AJ0036-C,1
AJ0037-C,0
AJ0039-C,1
AJ0043-C,0
AJ0044-C,0
AJ0045-C,2
AJ0047-C,0
AJ0051-C,0
AJ0052-C,1
AJ0056-C,1
AJ0059-C,1
AJ0061-C,1
AJ0063-C,0
AJ0064-C,0
AJ0066-C,1
AJ0071-C,1
AJ0072-C,1
AJ0074-C,2
AJ0075-C,0
AJ0076-C,0
AJ0077-C,0
AJ0078-C,0
AJ0079-C,0
AJ0081-C,0
AJ0084-C,0
AJ0085-C,1
AJ0086-C,1
AJ0088-C,1
AJ0090-C,0
AJ0092-C,0
AJ0093-C,0
AJ0095-C,0
AJ0096-C,1
AJ0097-C,0
AJ0098-C,1
AJ0100-C,1
AJ0102-C,1
AJ0103-C,0
AJ0105-C,1
AJ0107-C,1
AJ0109-C,1
AJ0113-C,0
AJ0115-C,1
AJ0116-C,0
AJ0099-C,1
AJ0117-C,0
AJ0070-Cx,1
AJ0101-Cx,1
AJ0120-C,2
AJ0121-C,0
AJ0122-C,2
AJ0123-C,0
AJ0124-C,1
AJ0125-C,0
AJ0126-C,1
AJ0127-C,0
AJ0128-C,1
AJ0129-C,0
AJ0130-C,1
AJ0131-C,0
AJ0132-C,1
AJ0133-C,1
AJ0134-C,0
AJ0135-C,0
AJ0136-C,1
AJ0137-C,0
AJ0138-C,2
AJ0139-C,1
AJ0140-C,1
AJ0141-C,1
AJ0142-C,0
AJ0143-C,1
AJ0144-C,1
AJ0145-C,2
AJ0146-C,1
AJ0147-C,2
AJ0148-C,1
AJ0149-C,0
AJ0150-C,0
AJ0151-C,1
AJ0152-C,0
AJ0153-C,1
AJ0154-C,0
AJ0155-C,1
AJ0156-C,0
AJ0157-C,0
AJ0158-C,0
AJ0159-C,1
AJ0161-C,0
AJ0028-C,0
AJ0038-C,0
AJ0049-C,0
AJ0060-C,1
AJ0068-C,0
AJ0080-C,0
AJ0087-C,0
AJ0119-C,1
AK0041-C,2
AK0042-C,2
AK0043-C,2
AK0044-C,2
AK0046-C,2
AK0047-C,2
AK0049-C,0
AK0050-C,2
AK0051-C,0
AK0052-C,0
AK0054-C,2
AK0055-C,2
AK0056-C,2
AK0062-C,1
AK0063-C,2
AK0065-C,2
AK0067-C,1
AK0068-C,0
AK0069-C,1
AK0070-C,2
AK0071-C,2
AK0072-C,0
AK0073-C,0
AK0076-C,0
AK0077-C,0
AK0078-C,1
AK0079-C,0
AK0081-C,1
AK0082-C,0
AK0083-C,0
AK0085-C,0
AK0086-C,0
AK0087-C,2
AK0088-C,0
AK0089-C,2
AK0091-C,0
AK0093-C,2
AK0094-C,2
AK0095-C,0
AK0096-C,2
AK0098-C,2
AK0099-C,2
AK0101-C,2
AK0102-C,0
AK0104-C,0
AK0105-C,1
AK0106-C,1
AK0107-C,1
AK0108-C,0
AK0110-C,2
AK0116-C,2
AK0117-C,0
AK0119-C,0
AK0127-C,2
AK0045-Cx,0
AK0057-Cx,2
AK0060-C,1
AK0066-Cx,2
AK0075-Cx,0
AK0090-Cx,0
AK0092-Cx,0
AK0100-Cx,0
AK0103-Cx,1
AK0109-Cx,2
AK0177-C,1
AK0203-C,2
AK0207-C,0
AK0211-C,2
AK0212-C,1
AK0213-C,1
AK0214-C,1
AK0215-C,2
AK0226-C,2
AK0235-C,0
AK0236-C,2
AK0237-C,0
AK0238-C,2
AK0239-C,1
AK0274-C,1
AK0278-C,0
AK0279-C,0
AK0280-C,0
AK0281-C,1
AK0284-C,2
AK0298-C,2
AK0299-C,2
AZ0292-C,2
AZ0293-C,2
AZ0294-C,2
AZ0295-C,2
AZ0296-C,2
AZ0297-C,2
AZ0298-C,2
AZ0300-C,2
AZ0301-C,0
AZ0302-C,0
AZ0304-C,2
AZ0305-C,2
AZ0306-C,0
AZ0307-C,2
AZ0308-C,2
AZ0309-C,2
AZ0310-C,0
AZ0311-C,2
AZ0313-C,2
AZ0314-C,2
AZ0316-C,0
AZ0317-C,0
AZ0318-C,2
AZ0319-C,2
AZ0320-C,0
AZ0321-C,0
AZ0322-C,2
AZ0323-C,2
AZ0325-C,2
AZ0326-C,0
AZ0328-C,2
AZ0329-C,2
AZ0330-C,2
AZ0331-C,2
AZ0332-C,2
AZ0333-C,2
AZ0284-C,2
AZ0287-C,2
AZ0289-C,2
AZ0290-C,2
AZ0291-C,2
AZ0312-C,2
AZ0334-C,2
AZ0336-C,2
AZ0337-C,0
AZ0338-C,0
AZ0339-C,2
AZ0340-C,2
AZ0341-C,2
AZ0342-C,2
AZ0343-C,2
AZ0344-C,0
AZ0350-C,0
AZ0425-CW,2
AZ0433-CW,2
AZ0434-CW,2
AZ0416-CW,2
AZ0444-CW,2
AZ0484-CW,2
AZ0459-CW,2
AZ0253-C,2
AZ0254-C,2
AZ0255-C,2
AZ0256-C,2
AZ0258-C,2
AZ0259-C,2
AZ0260-C,2
AZ0261-C,2
AZ0263-C,2
AZ0267-C,2
AZ0268-C,0
AZ0269-C,2
AZ0270-C,2
AZ0271-C,2
AZ0272-C,2
AZ0273-C,2
AZ0274-C,2
AZ0275-C,2
AZ0276-C,2
AZ0277-C,2
AZ0278-C,2
AZ0279-C,2
AZ0280-C,2
AZ0281-C,2
AZ0282-C,2
AZ0283-C,2
VBS02049-4431STDY6672917,2
VBS02050-4431STDY6672918,2
VBS02051-4431STDY6672919,2
VBS02052-4431STDY6672920,2
VBS02054-4431STDY6672922,2
VBS02055-4431STDY6672923,2
VBS02056-4431STDY6672924,2
VBS02057-4431STDY6672925,2
VBS02058-4431STDY6672926,2
VBS02059-4431STDY6672927,2
VBS02060-4431STDY6672928,2
VBS02061-4431STDY6672929,2
VBS02062-4431STDY6672930,2
VBS02063-4431STDY6672931,2
VBS02064-4431STDY6672932,2
VBS02065-4431STDY6672933,2
VBS02066-4431STDY6672934,2
VBS02067-4431STDY6672935,2
VBS02068-4431STDY6672936,2
VBS02069-4431STDY6672937,2
VBS02070-4431STDY6672938,2
VBS02071-4431STDY6672939,2
VBS02072-4431STDY6672940,2
VBS02073-4431STDY6672941,2
VBS02077-4431STDY6772805,2
VBS02083-4431STDY6772806,2
VBS02088-4431STDY6772808,2
VBS02090-4431STDY6772809,2
VBS02093-4431STDY6772811,2
VBS02094-4431STDY6772812,2
VBS02095-4431STDY6772813,2
VBS02097-4431STDY6772815,2
VBS02101-4431STDY6772818,2
VBS02103-4431STDY6772819,2
VBS02104-4431STDY6772820,2
VBS02106-4431STDY6772821,2
VBS02107-4431STDY6772822,2
VBS02109-4431STDY6772823,2
VBS02110-4431STDY6772824,2
VBS02112-4431STDY6772826,2
VBS02119-4431STDY6772831,2
VBS02121-4431STDY6772832,2
VBS02127-4431STDY6772833,2
VBS02129-4431STDY6772835,2
VBS02130-4431STDY6772836,2
AZ0152-C,2
AZ0153-C,2
AZ0155-C,2
AZ0156-C,2
AZ0157-C,2
AZ0158-C,2
AZ0159-C,2
AZ0160-C,2
AZ0161-C,2
AZ0164-C,2
AZ0165-C,2
AZ0166-C,2
AZ0167-C,2
AZ0168-C,2
AZ0170-C,2
AZ0172-C,2
AZ0174-C,2
AZ0175-C,2
AZ0176-C,2
AZ0179-C,2
AZ0180-C,2
AZ0181-C,2
AZ0182-C,2
AZ0183-C,2
AZ0184-C,2
AZ0185-C,2
AZ0186-C,2
AZ0187-C,2
AZ0188-C,2
AZ0191-C,2
AZ0192-C,2
AZ0199-C,2
AZ0200-C,2
AZ0201-C,2
AZ0202-C,2
AZ0223-C,2
AZ0226-C,2
AZ0242-C,2
AZ0246-C,2
AZ0247-C,2
AZ0251-C,2
BQ0046-C,1
BQ0047-C,1
BQ0049-C,1
BQ0050-C,0
BQ0051-C,0
BQ0052-C,1
BQ0053-C,0
BQ0054-C,1
BQ0055-C,0
BQ0056-C,2
BQ0057-C,2
BQ0058-C,0
BQ0059-C,2
BQ0060-C,1
BQ0062-C,2
BQ0064-C,0
BQ0065-C,1
BQ0066-C,2
BQ0067-C,0
BQ0068-C,0
BQ0069-C,0
BQ0070-C,0
BQ0071-C,1
BQ0072-C,1
BQ0073-C,0
BQ0074-C,1
BQ0075-C,1
BQ0076-C,0
BQ0077-C,2
BQ0078-C,0
BQ0079-C,2
BQ0080-C,0
BQ0081-C,2
BQ0082-C,0
BQ0083-C,0
BQ0084-C,0
BQ0085-C,0
BQ0086-C,0
BQ0087-C,2
BQ0088-C,1
BQ0089-C,2
BQ0090-C,1
BQ0091-C,1
BQ0092-C,1
BQ0093-C,0
BQ0094-C,2
BQ0095-C,0
BQ0096-C,2
BQ0097-C,0
BQ0098-C,1
BQ0099-C,2
BQ0100-C,0
BQ0102-C,0
BQ0103-C,2
BQ0106-C,0
BQ0107-C,0
BQ0108-C,0
BQ0109-C,2
BQ0110-C,0
BQ0111-C,0
BQ0114-C,0
BQ0115-C,0
BQ0116-C,1
BQ0117-C,0
BQ0118-C,1
BQ0119-C,2
BQ0120-C,0
BQ0121-C,0
BQ0122-C,0
BQ0123-C,1
BQ0125-C,1
BQ0126-C,0
BQ0129-C,0
BQ0130-C,0
BL0046-C,0
BL0047-C,2
BL0048-C,2
BL0049-C,2
BL0050-C,2
BL0052-C,1
BL0054-C,2
BL0055-C,2
BL0058-C,2
BL0059-C,2
BL0060-C,2
BL0061-C,2
BL0062-C,2
BL0063-C,2
BL0065-C,0
BL0067-C,2
BL0068-C,2
BL0069-C,2
BL0070-C,2
BL0071-C,2
BL0072-C,2
BL0073-C,2
BL0074-C,2
BL0075-C,2
BL0076-C,2
BL0078-C,2
BL0079-C,2
BL0081-C,2
BL0082-C,2
BL0083-C,2
BL0084-C,2
BL0085-C,2
BL0086-C,2
BL0087-C,2
BL0088-C,2
BL0089-C,2
BL0090-C,2
BL0091-C,2
BL0092-C,2
BL0093-C,2
BL0094-C,2
BL0095-C,2
BL0096-C,2
BL0097-C,2
BL0099-C,2
BL0100-C,2
BL0101-C,2
BL0102-C,2
BL0103-C,2
BL0105-C,1
BL0106-C,0
BL0107-C,1
BL0108-C,2
BL0109-C,1
BL0110-C,2
BL0111-C,0
BL0112-C,0
BL0113-C,2
BL0114-C,0
BL0115-C,2
BL0116-C,0
BL0117-C,0
BL0118-C,2
BL0194-C,2
BL0195-C,2
BL0196-C,2
BL0197-C,2
BL0198-C,2
BL0199-C,2
BL0200-C,2
BL0201-C,2
BL0202-C,2
BL0203-C,2
BL0204-C,2
BL0205-C,2
BL0207-C,2
BL0208-C,2
BL0209-C,2
BL0210-C,2
BL0211-C,2
BL0212-C,2
BL0213-C,2
BL0214-C,2
BL0215-C,2
BL0216-C,2
BL0217-C,2
BL0218-C,2
BL0221-C,2
BL0222-C,2
BL0223-C,2
BL0224-C,2
BL0225-C,2
BL0226-C,2
BL0227-C,2
BL0228-C,2
BL0229-C,2
BL0119-C,0
BL0120-C,2
BL0121-C,0
BL0124-C,0
BL0125-C,2
BL0126-C,2
BL0127-C,2
BL0128-C,2
BL0129-C,2
BL0131-C,2
BL0133-C,2
BL0135-C,2
BL0136-C,2
BL0137-C,2
BL0138-C,0
BL0139-C,2
BL0140-C,2
BL0141-C,2
BL0142-C,2
BL0145-C,2
BL0146-C,2
BL0147-C,2
BL0148-C,2
BL0149-C,2
BL0150-C,2
BL0151-C,2
BL0152-C,2
BL0153-C,2
BL0154-C,2
BL0155-C,2
BL0156-C,2
BL0157-C,2
BL0158-C,2
BL0159-C,2
BL0161-C,2
BL0163-C,2
BL0164-C,2
BL0165-C,2
BL0166-C,2
BL0167-C,2
BL0168-C,2
BL0169-C,2
BL0170-C,2
BL0171-C,2
BL0172-C,2
BL0173-C,2
BL0176-C,2
BL0177-C,2
BL0178-C,2
BL0180-C,2
BL0182-C,2
BL0183-C,2
BL0184-C,2
BL0185-C,2
BL0186-C,2
BL0187-C,2
BL0189-C,2
BL0190-C,2
BL0192-C,2
BL0193-C,2
BL0230-C,2
BL0231-C,2
BL0232-C,2
BL0233-C,2
BL0234-C,2
BL0235-C,2
BL0236-C,2
BL0238-C,2
BL0239-C,2
BL0240-C,2
BL0241-C,2
BL0242-C,2
BL0243-C,2
BL0244-C,2
BL0246-C,2
BL0247-C,2
BL0251-C,2
BL0252-C,2
BL0253-C,2
BL0254-C,2
BL0255-C,2
BL0256-C,2
BL0257-C,2
BL0258-C,2
BL0259-C,2
BL0260-C,2
BL0261-C,2
BL0263-C,2
BL0264-C,2
BL0266-C,2
BL0267-C,2
BL0269-C,2
BL0271-C,2
BL0272-C,2
BL0273-C,2
BL0275-C,2
BL0276-C,2
BL0277-C,2
BL0278-C,2
BL0280-C,2
BL0281-C,2
BL0282-C,2
BL0283-C,2
BL0284-C,2
BL0285-C,2
BL0286-C,2
BL0287-C,2
BL0288-C,2
BL0290-C,2
BL0291-C,2
BL0292-C,2
BL0293-C,2
BL0294-C,2
BL0296-C,2
BL0297-C,2
BL0298-C,2
BL0299-C,2
BL0300-C,2
BL0301-C,2
BL0302-C,2
BL0303-C,2
BL0304-C,2
BL0305-C,2
BL0306-C,2
BL0307-C,2
BL0308-C,2
BL0309-C,2
BL0310-C,2
BL0311-C,2
BL0312-C,2
BL0313-C,2
BL0314-C,2
BL0315-C,2
BL0316-C,2
BL0317-C,2
BL0318-C,2
BL0319-C,2
BL0320-C,2
BL0321-C,2
BL0322-C,2
BL0323-C,2
BL0324-C,2
BL0325-C,2
BL0326-C,2
BL0327-C,2
BL0328-C,2
BL0332-C,2
BL0333-C,2
BL0334-C,2
BL0335-C,2
BL0336-C,2
BL0337-C,2
BL0338-C,2
BL0339-C,2
BL0340-C,2
BL0341-C,2
BL0342-C,2
BL0343-C,2
BL0344-C,2
BL0345-C,2
BL0346-C,0
BL0347-C,2
BL0348-C,0
BL0350-C,0
BL0351-C,1
BL0352-C,0
BL0353-C,0
BL0354-C,2
BL0356-C,1
BL0357-C,0
BL0358-C,0
BL0359-C,2
BL0360-C,0
BL0361-C,0
BL0362-C,2
BL0363-C,0
BL0365-C,0
BL0366-C,2
BL0367-C,2
BL0368-C,0
BL0370-C,2
BL0371-C,1
BL0372-C,0
BL0373-C,2
BL0375-C,0
BL0376-C,0
BL0377-C,1
BL0378-C,1
BL0379-C,0
BL0380-C,2
BL0381-C,0
BL0382-C,2
BL0383-C,2
BL0384-C,2
BL0385-C,0
BL0386-C,0
BL0387-C,0
BL0388-C,2
BL0389-C,0
BL0391-C,0
BL0392-C,0
BL0393-C,1
BL0394-C,2
BL0250-CW,2
AC0007-C,2
AC0008-C,2
AC0009-Cx,2
AC0010-C,2
AC0011-C,2
AC0012-Cx,2
AC0013-Cx,2
AC0014-C,2
AC0015-C,2
AC0016-C,2
AC0017-C,2
AC0018-Cx,2
AC0019-C,2
AC0021-C,2
AC0022-C,2
AC0023-C,2
AC0024-Cx,2
AC0025-C,2
AC0026-C,2
AC0027-C,2
AC0028-C,2
AC0029-C,2
AC0030-C,2
AC0031-Cx,2
AC0032-C,2
AC0033-Cx,2
AC0034-C,2
AC0035-C,2
AC0036-C,2
AC0037-C,2
AC0038-Cx,2
AC0039-C,2
AC0040-C,2
AC0041-Cx,2
AC0042-C,2
AC0043-C,2
AC0044-Cx,2
AC0045-C,2
AC0046-C,2
AC0047-C,2
AC0048-Cx,2
AC0049-C,2
AC0050-Cx,2
AC0051-C,2
AC0052-Cx,2
AC0053-C,2
AC0054-C,2
AC0055-C,2
AC0056-C,2
AC0057-C,2
AC0058-C,2
AC0059-C,2
AC0060-C,2
AC0061-C,2
AC0062-C,2
AC0063-C,2
AC0064-C,2
AC0065-C,2
AC0066-C,2
AC0067-Cx,2
AC0068-C,2
AC0069-C,2
AC0070-C,2
AC0071-C,2
AC0072-C,2
AC0073-C,2
AC0074-C,2
AC0075-C,2
AC0076-C,2
AC0077-C,2
AC0078-C,2
AC0079-C,2
AC0080-Cx,2
AC0081-C,2
AC0082-C,2
AC0083-C,2
AC0084-C,2
AC0085-C,2
AC0086-C,2
AC0087-Cx,2
AC0088-C,2
AC0089-Cx,0
AC0090-C,0
AC0091-Cx,0
AC0092-C,2
AC0093-C,0
AC0094-C,0
AC0095-C,2
AC0096-Cx,0
AC0097-C,2
AC0098-C,2
AC0099-C,1
AC0100-C,0
AC0101-C,0
AC0102-Cx,1
AC0103-Cx,2
AC0104-Cx,1
AC0105-C,1
AC0106-C,2
AC0107-C,1
AC0108-C,2
AC0109-C,2
AC0110-Cx,0
AC0111-Cx,2
AC0112-C,0
AC0113-Cx,0
AC0114-C,0
AC0115-C,2
AC0116-C,2
AC0117-Cx,0
AC0118-C,0
AC0119-C,1
AC0120-C,1
AC0121-C,2
AC0122-C,0
AC0123-C,0
AC0124-C,2
AC0125-C,0
AC0126-Cx,1
AC0127-C,2
AC0128-Cx,0
AC0129-C,2
AC0130-C,2
AC0131-C,0
AC0132-C,2
AC0133-C,0
AC0134-Cx,0
AC0135-C,0
AC0136-C,0
AC0137-C,2
AC0138-Cx,1
AC0139-C,1
AC0140-C,2
AC0141-C,1
AC0142-C,0
AC0143-C,2
AC0144-Cx,2
AC0145-Cx,0
AC0146-C,1
AC0147-Cx,2
AC0148-C,2
AC0149-Cx,0
AC0150-C,1
AC0151-C,0
AC0152-C,0
AC0153-C,1
AC0154-C,0
AC0155-C,0
AC0156-C,0
AC0157-C,2
AC0158-C,0
AC0159-C,1
AC0160-C,0
AC0161-C,2
AC0162-Cx,0
AC0163-C,0
AC0164-C,0
AC0166-C,0
AC0167-C,0
AC0168-Cx,0
AC0169-C,2
AC0170-C,0
AC0171-C,2
AC0172-C,2
AC0173-C,0
AC0174-Cx,0
AC0176-Cx,1
AC0177-C,0
AC0178-C,0
AC0179-C,2
AC0180-C,2
AC0181-C,1
AC0182-C,2
AC0183-C,0
AC0184-C,2
AC0185-C,0
AC0186-C,1
AC0187-C,0
AC0188-C,0
AC0189-C,2
AC0190-C,2
AC0191-C,2
AC0192-C,2
AC0193-C,2
AC0194-C,2
AC0195-C,0
AC0196-C,2
AC0197-Cx,2
AC0198-C,2
AC0199-C,0
AC0200-C,0
AC0201-Cx,2
AC0202-Cx,0
AC0203-C,0
AC0204-C,2
AC0205-C,2
AC0206-C,0
AC0207-C,2
AC0208-C,0
AC0209-C,0
AC0210-C,1
AC0211-C,1
AC0212-C,2
AC0213-C,0
AC0214-C,2
AC0215-C,0
AC0216-C,1
AC0217-C,0
AC0218-C,0
AC0219-C,1
AC0220-C,0
AC0221-C,0
AC0222-C,1
AC0223-C,0
AC0224-C,0
AC0225-C,0
AC0226-C,0
AC0227-C,0
AC0228-C,0
AC0229-C,1
AC0230-C,0
AC0231-C,2
AC0232-C,0
AC0233-C,1
AC0234-C,0
AC0235-C,0
AC0236-C,0
AC0237-C,2
AC0238-C,0
AC0239-C,0
AC0240-C,2
AC0241-C,1
AC0242-C,1
AC0243-C,0
AC0244-C,1
AC0245-C,2
AC0246-C,2
AC0247-C,2
AC0248-C,1
AC0249-C,0
AC0250-C,2
AC0251-C,0
AC0252-C,0
AC0253-C,2
AC0254-C,0
AC0255-C,0
AC0256-C,2
AC0257-C,0
AC0258-C,0
AC0259-C,0
AC0260-C,0
AC0261-C,0
AC0262-C,0
AC0263-C,1
AC0264-C,0
AC0265-C,1
AC0266-C,0
AC0267-C,0
AC0268-C,1
AC0269-C,1
AC0270-C,1
AC0271-C,2
AC0272-C,2
AC0273-C,2
AC0274-C,0
AC0275-C,0
AC0276-C,0
AC0277-C,0
AC0278-C,0
AC0279-C,0
AC0280-C,0
AC0281-C,2
AC0282-C,2
AC0283-C,1
AC0284-C,0
AC0285-C,2
AC0286-C,2
AC0287-C,0
AC0288-C,0
AC0289-C,2
AC0290-C,2
AC0291-C,1
AC0292-C,2
AC0293-C,1
AC0294-C,1
AC0295-C,0
AC0296-C,0
AC0297-C,0
AC0298-C,0
AC0299-C,0
